N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope
32,8.0,1.0,1.0,2.0737437185929646,2.333333666666667
64,3.0,1.3165829145728642,1.0,2.618090452261306,2.333333666666667
