SOA,ReportAcc,ReportAcc_lo,ReportAcc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi
1,0.75,0.6856590168795417,0.8049183199318249,0.2836647456517463,0.2807490719191126,0.2865342300306916,,,
2,0.765,0.7015863111723746,0.8184256658476741,0.2827490089353212,0.2799641330621798,0.285780297241295,,,
3,0.81,0.7499876129240015,0.8583282847220932,0.28529561497574696,0.2824467808106627,0.28840563471535735,,,
4,0.725,0.6593166064233035,0.7822029967069265,0.28143198160069327,0.2784793906237172,0.2845296269524416,,,
6,0.605,0.5358834915928536,0.6701589898679203,0.27660126570828053,0.27377764844449654,0.27940116705901274,,,
8,0.6,0.53083672039262,0.6653942143319266,0.27917874813188975,0.2760618484269131,0.28227334719889646,,,
