SOA,AUC_mean,AUC_std
1,0.9973579909826252,0.0018739965354288763
2,0.9948312284082638,0.005619035157267495
3,0.997623279587336,0.003318574953972844
4,0.9987485129333653,0.0006857263949035544
6,0.9963737492182615,0.0032458093726739955
8,0.9960838286192797,0.004981448072057991
