RewireP,Size,Seeds,Threshold_mean,Threshold_lo,Threshold_hi,DegreeFrac,BackwardOnly,Trials,N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope,Pattern,Modules,InterFrac,GW_tau,GW_theta,Sync_mean,Seed
0.0,64.0,5.0,6.4,0.0,16.0,0.38,True,35.0,,,,,,,,,,,,,
0.0,,,,,,0.38,,,64.0,,16.0,0.0,2.0406779661016965,9.6000006,small_world,4.0,0.05,0.9,0.55,0.6025974025974026,12000.0
0.0,,,,,,0.38,,,64.0,15.75,0.0,0.0,1.8983050847457628,9.6000006,small_world,4.0,0.05,0.9,0.55,0.604250295159386,12001.0
0.0,,,,,,0.38,,,64.0,15.8,0.0,0.0,2.169491525423729,9.6000006,small_world,4.0,0.05,0.9,0.55,0.6037780401416765,12002.0
0.0,,,,,,0.38,,,64.0,,16.0,0.0,2.3118644067796628,9.6000006,small_world,4.0,0.05,0.9,0.55,0.6040141676505313,12003.0
0.0,,,,,,0.38,,,64.0,15.833333333333334,0.0,0.0,2.169491525423729,9.6000006,small_world,4.0,0.05,0.9,0.55,0.6037780401416765,12004.0
