N_nodes,threshold,method,min_acc,min_acc_soa
32,4.970896717521424,crossing,0.37302662328405367,6.3935
64,5.437099217560323,crossing,0.3108475493275119,6.9430000000000005
128,5.1062795352451005,crossing,0.4406077050790409,6.1135
256,6.46,closest,0.6056446192140336,6.46
512,8.0,closest,0.5588951042886258,8.0
