N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
64,0,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.25958463143234045,0.25558847399833423,0.26371016264149943,6.205882352941177,4.852941176470588,7.617647058823529,35
64,1,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.2590343658890144,0.2548194648915664,0.2636619232150384,6.393939393939394,4.848484848484849,7.970454545454541,35
64,2,0.8571428571428571,0.7062444591340484,0.9373976892056628,0.2643194500177664,0.26017588540605907,0.268993853090786,6.323529411764706,4.676470588235294,8.030147058823525,35
64,3,0.8,0.6410838693433439,0.8995755352620137,0.25766973119743974,0.25372891448622104,0.26131306027475304,4.909090909090909,3.242424242424242,6.697727272727269,35
64,4,0.7714285714285715,0.6098268310800976,0.879341201658083,0.2583918430127067,0.25456035193226556,0.26281830146123336,6.571428571428571,4.914285714285715,8.343571428571424,35
64,5,0.8285714285714286,0.6731771770095504,0.9189735994629841,0.2617708868339212,0.25707472587003194,0.2662497416714229,5.852941176470588,3.9404411764705887,7.764705882352941,35
64,6,0.9428571428571428,0.8139294257983507,0.9841868381428913,0.2569533588574878,0.2528605157953654,0.2611581442476304,6.65625,4.625,8.625781249999996,35
64,8,0.8285714285714286,0.6731771770095504,0.9189735994629841,0.25898740447010665,0.2546678885939286,0.26348398029342757,6.705882352941177,5.146323529411765,8.294852941176467,35
64,10,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.2593200464167167,0.25512854885125613,0.26394086160895897,4.8,2.933333333333333,6.834166666666662,35
64,12,0.9714285714285714,0.8546691276638632,0.9949385081445556,0.2622424583910742,0.2575585186505971,0.2677549476032312,4.514285714285714,3.057142857142857,6.285714285714286,35
64,14,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.26419054718277313,0.2598181192070809,0.2685625226428632,4.676470588235294,3.0588235294117645,6.5,35
64,16,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.2659697308371897,0.2603337515505198,0.271516534969552,4.794117647058823,3.1470588235294117,6.588235294117647,35
64,18,0.8571428571428571,0.7062444591340484,0.9373976892056628,0.26014965734786116,0.2562890125406532,0.2640149601179414,5.714285714285714,3.9714285714285715,7.629999999999993,35
64,20,0.8285714285714286,0.6731771770095504,0.9189735994629841,0.2625166285840032,0.2580936983755397,0.2669920642024612,6.0,4.333333333333333,7.81893939393939,35
64,22,0.9428571428571428,0.8139294257983507,0.9841868381428913,0.2618510633646104,0.2572086521171138,0.2669495314114504,5.424242424242424,4.0,6.87954545454545,35
64,24,0.9428571428571428,0.8139294257983507,0.9841868381428913,0.26080785784635824,0.25686212225266725,0.2652636678703153,5.666666666666667,4.181818181818182,7.2128787878787834,35
64,26,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.2612357182690816,0.25672210443751203,0.2658262776540165,6.0,4.542857142857143,7.514285714285714,35
64,28,0.8571428571428571,0.7062444591340484,0.9373976892056628,0.25994033829685714,0.2566951788917466,0.26334500713786024,6.323529411764706,4.734558823529412,7.9411764705882355,35
64,30,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.26321981070790595,0.25955941775455,0.2668643418194434,4.7272727272727275,3.3333333333333335,6.2128787878787834,35
64,32,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.2588126812827302,0.2550149211585183,0.2628541283503408,6.705882352941177,4.852941176470588,8.588235294117647,35
64,34,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.26054282390224065,0.256839274317289,0.2645889882791343,4.96969696969697,3.4545454545454546,6.515151515151516,35
64,36,0.8571428571428571,0.7062444591340484,0.9373976892056628,0.26022967879869696,0.2561497709853673,0.2646342706457257,5.28125,3.59375,6.96875,35
64,38,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.266171774170731,0.2613617656029701,0.2708123864370799,5.382352941176471,3.6470588235294117,7.353676470588231,35
64,40,0.9142857142857143,0.7762072603410349,0.9704176317330301,0.2607694697479307,0.25708159095891386,0.26432636665611225,6.03125,4.25,7.844531249999996,35
64,42,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.26215780885147266,0.25860622449464005,0.265714825134662,4.909090909090909,3.332575757575758,6.757575757575758,35
64,44,0.9428571428571428,0.8139294257983507,0.9841868381428913,0.2601067057658022,0.2568957030817952,0.2636575005411028,5.878787878787879,4.2719696969696965,7.606060606060606,35
64,46,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.2610048774181273,0.25680488555797265,0.26504608940283053,6.457142857142857,4.742142857142857,8.485714285714286,35
64,48,0.9428571428571428,0.8139294257983507,0.9841868381428913,0.258655275094527,0.2547089818797041,0.2627715381903742,6.257142857142857,4.513571428571429,8.257857142857139,35
