N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,0,0.76,0.5657031664457093,0.8850368630659855,0.28509582896753016,0.27842909006455546,0.29231365965526873,,,,25
32,1,0.72,0.5242339480963842,0.8571614614904344,0.27896707762765915,0.2735910023431649,0.28521904916135327,,,,25
32,2,0.8,0.6086904963045967,0.9113941531319742,0.2837058433576236,0.27655838035923047,0.2915397742431327,,,,25
32,3,0.72,0.5242339480963842,0.8571614614904344,0.2797546152102061,0.2712271990065872,0.2886270931350876,,,,25
32,4,0.76,0.5657031664457093,0.8850368630659855,0.28015393903667474,0.27197433755045275,0.28776973466440425,,,,25
32,6,0.76,0.5657031664457093,0.8850368630659855,0.275208549058293,0.26712302959792816,0.2831379044562753,,,,25
32,8,0.56,0.3706733186979878,0.7333436111893266,0.2799617483524372,0.27202733950164787,0.28862146340557654,,,,25
32,10,0.8,0.6086904963045967,0.9113941531319742,0.2968489101054049,0.28774471393697937,0.30579396539872367,,,,25
32,12,0.88,0.7004420607907267,0.9583318284955964,0.2833621453770951,0.27679033938203285,0.2905087254431511,,,,25
64,0,0.6,0.40739457358966996,0.7659669762225203,0.25672754111819523,0.2510965119209832,0.2625520889904946,,,,25
64,1,0.76,0.5657031664457093,0.8850368630659855,0.25704312274437074,0.25234279378340496,0.26211173256104425,,,,25
64,2,0.84,0.6534637839282114,0.9359654854332355,0.25732752491222677,0.2527777823384166,0.2619668107745114,,,,25
64,3,0.64,0.44518497748164865,0.7975211922554178,0.25716482783589045,0.2523801972166477,0.26210726533169937,,,,25
64,4,0.84,0.6534637839282114,0.9359654854332355,0.25512444571420034,0.2489968771358857,0.2610683133139254,,,,25
64,6,0.6,0.40739457358966996,0.7659669762225203,0.2525503896327159,0.24821824879855997,0.2577287601407595,,,,25
64,8,0.68,0.48410269273102247,0.8279480969309202,0.26637936064824175,0.26076387400125883,0.27233214291506785,,,,25
64,10,0.76,0.5657031664457093,0.8850368630659855,0.2571646406588335,0.2514733435212582,0.2633274967798378,,,,25
64,12,0.72,0.5242339480963842,0.8571614614904344,0.2572253357788819,0.25321643664341253,0.261725562993978,,,,25
128,0,0.76,0.5657031664457093,0.8850368630659855,0.23994338926717065,0.23650217088074182,0.2434028761351079,,,,25
128,1,0.84,0.6534637839282114,0.9359654854332355,0.24070239427322465,0.2384770679030915,0.24335653525288706,,,,25
128,2,0.64,0.44518497748164865,0.7975211922554178,0.23932063257704195,0.23590561779172384,0.24263883512526202,,,,25
128,3,0.92,0.7503389104960468,0.9777795987151524,0.24086154917559724,0.236482050483089,0.24581958864501574,,,,25
128,4,0.76,0.5657031664457093,0.8850368630659855,0.23965655398731556,0.23616854454010602,0.24289750480069472,,,,25
128,6,0.6,0.40739457358966996,0.7659669762225203,0.24180351573421127,0.23768007589053267,0.24623323486548998,,,,25
128,8,0.64,0.44518497748164865,0.7975211922554178,0.2352801366857382,0.23234190341457683,0.23886136095629165,,,,25
128,10,0.8,0.6086904963045967,0.9113941531319742,0.24147743192336002,0.23862694200035547,0.24466920660012542,,,,25
128,12,0.72,0.5242339480963842,0.8571614614904344,0.24522640296743614,0.2409606556652147,0.24966200104333244,,,,25
