RewireP,Size,Seeds,Threshold_mean,Threshold_lo,Threshold_hi,DegreeFrac,BackwardOnly,Trials,N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope,Pattern,Modules,InterFrac,GW_tau,GW_theta,Sync_mean,Seed
0.34,,,,,,,,,64.0,,2.2184873949579837,,,,,,,,,,12011.0
0.34,,,,,,,,,64.0,,2.319327731092437,,,,,,,,,,12012.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12005.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12006.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12007.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12008.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12009.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12010.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12011.0
0.35,,,,,,,,,64.0,,16.0,,,,,,,,,,12012.0
0.36,,,,,,,,,64.0,,0.0,,,,,,,,,,12005.0
0.36,,,,,,,,,64.0,,0.0,,,,,,,,,,12006.0
0.36,,,,,,,,,64.0,,0.0,,,,,,,,,,12007.0
0.36,,,,,,,,,64.0,,0.0,,,,,,,,,,12008.0
0.36,,,,,,,,,64.0,,0.1008403361344537,,,,,,,,,,12009.0
0.36,,,,,,,,,64.0,,0.5042016806722689,,,,,,,,,,12010.0
0.36,,,,,,,,,64.0,,16.0,,,,,,,,,,12011.0
0.36,,,,,,,,,64.0,,16.0,,,,,,,,,,12012.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12005.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12006.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12007.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12008.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12009.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12010.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12011.0
0.37,,,,,,,,,64.0,,16.0,,,,,,,,,,12012.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12005.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12006.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12007.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12008.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12009.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12010.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12011.0
0.38,,,,,,,,,64.0,,48.0,,,,,,,,,,12012.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12005.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12006.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12007.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12008.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12009.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12010.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12011.0
0.39,,,,,,,,,64.0,,48.0,,,,,,,,,,12012.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12005.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12006.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12007.0
0.4,,,,,,,,,64.0,,16.0,,,,,,,,,,12008.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12009.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12010.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12011.0
0.4,,,,,,,,,64.0,,0.0,,,,,,,,,,12012.0
