N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope
32,,0.0,0.0,0.0,4.591837308673469
64,,0.0,0.0,0.0,5.171429217857142
128,,0.0,0.0,0.0,5.31632719515306
256,,0.0,0.0,0.0,5.31632719515306
