N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,0,0.8,0.6696289406777459,0.887562499842239,0.2831469801201221,0.2780590884759286,0.2880941006534629,,,,50
32,1,0.7,0.562496495355466,0.8089644649911906,0.2802181074126579,0.27588561967091174,0.28482778911979634,,,,50
32,2,0.82,0.6920394632569922,0.9022980732976582,0.28166202368561905,0.27628021662854196,0.2877447744054241,,,,50
32,3,0.8,0.6696289406777459,0.887562499842239,0.27981892148631454,0.27467036376636533,0.2852573822187374,,,,50
32,4,0.64,0.501410168761127,0.7586125034815325,0.2805661386402104,0.27557603912764883,0.28590029227950753,,,,50
32,5,0.82,0.6920394632569922,0.9022980732976582,0.27853600251875504,0.2733819995788552,0.2836615404673485,,,,50
32,6,0.76,0.6258731624205708,0.8570260860300828,0.27610337703944976,0.27090019498310225,0.28138582863417294,,,,50
32,8,0.64,0.501410168761127,0.7586125034815325,0.2778119501383891,0.27233964735320587,0.28305844797327495,,,,50
64,0,0.68,0.5418970269185592,0.7924178373934316,0.25695292295991906,0.25350212759075247,0.2603529834058405,,,,50
64,1,0.9,0.7863976856252035,0.9565242350681096,0.2547221180781613,0.2511082884726337,0.2586513262441663,,,,50
64,2,0.8,0.6696289406777459,0.887562499842239,0.25940090723519654,0.25598875592636644,0.262458633423423,,,,50
64,3,0.74,0.6044684273515117,0.8412847250644762,0.2581365188884435,0.25411577051501666,0.2624215265118286,,,,50
64,4,0.78,0.6475845041874634,0.8724608402978559,0.25496089501811103,0.2517368408994775,0.25857697973458915,,,,50
64,5,0.66,0.521538260502326,0.7756305077749992,0.2525317377559837,0.2486646182880226,0.2560885018878296,,,,50
64,6,0.62,0.48150446930992974,0.7413721068980641,0.2527551538685385,0.24937852148118408,0.2564030375897486,,,,50
64,8,0.72,0.5833487630404344,0.8252582933408878,0.26267859484719713,0.2586775646763342,0.2669277410806399,,,,50
128,0,0.82,0.6920394632569922,0.9022980732976582,0.24089735890784347,0.2380013193688264,0.24356868191346356,,,,50
128,1,0.9,0.7863976856252035,0.9565242350681096,0.24037540581323838,0.23803270726116166,0.24308098952243232,,,,50
128,2,0.72,0.5833487630404344,0.8252582933408878,0.23978430981294965,0.23703647642088782,0.24234831465451984,,,,50
128,3,0.84,0.7148578393696501,0.916625793219666,0.24044944968178672,0.23778438028177026,0.24334388684852967,,,,50
128,4,0.7,0.562496495355466,0.8089644649911906,0.23941136475258554,0.23699244517469015,0.24176356021484272,,,,50
128,5,0.62,0.48150446930992974,0.7413721068980641,0.23652599516188122,0.23389933599398077,0.2392733740442164,,,,50
128,6,0.7,0.562496495355466,0.8089644649911906,0.24072165656153716,0.23782442331466463,0.24335857823907303,,,,50
128,8,0.7,0.562496495355466,0.8089644649911906,0.23999356985217243,0.23741002931044278,0.242630166426627,,,,50
256,0,0.76,0.6258731624205708,0.8570260860300828,0.22754445810903234,0.22548997539572624,0.22975402982121443,,,,50
256,1,0.76,0.6258731624205708,0.8570260860300828,0.2284654113051836,0.22646229421808686,0.23046197534276447,,,,50
256,2,0.78,0.6475845041874634,0.8724608402978559,0.22809356049222157,0.22646144807130927,0.22967508597698613,,,,50
256,3,0.8,0.6696289406777459,0.887562499842239,0.22822388123596796,0.22670514887414217,0.22966089335826245,,,,50
256,4,0.72,0.5833487630404344,0.8252582933408878,0.22793310564136512,0.22631881331729756,0.22956961868241746,,,,50
256,5,0.66,0.521538260502326,0.7756305077749992,0.22664269671282344,0.2248394856924236,0.22848622615660194,,,,50
256,6,0.66,0.521538260502326,0.7756305077749992,0.2266710310266894,0.22514704995984447,0.22821953861880004,,,,50
256,8,0.72,0.5833487630404344,0.8252582933408878,0.22749158252604265,0.22560258082501933,0.2293554792009024,,,,50
