N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,0,0.4666666666666667,0.30232388907699753,0.638577003801267,0.2711850961432675,0.2634049150304528,0.27877630443040263,,,,30
32,1,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.27160501749637034,0.2656762175630088,0.27760764495090906,,,,30
32,2,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.2762686651197571,0.2698990130836145,0.28354296946185975,,,,30
32,3,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.27307586075483503,0.26530197303173175,0.28098164712527,,,,30
32,4,0.4666666666666667,0.30232388907699753,0.638577003801267,0.26714853262252586,0.2591841486475449,0.2750738083879699,,,,30
32,6,0.7,0.5212421254128504,0.8333525173175619,0.270639129637407,0.2638382559882859,0.27740340662861546,,,,30
32,8,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.2784435434644162,0.271606561178471,0.28651654726024794,,,,30
32,10,0.8333333333333334,0.6643564949358397,0.9266345762815146,0.28415372973885344,0.2772208724975532,0.2914949095174374,,,,30
32,12,0.8,0.6269430358685175,0.9049489282271013,0.280259542175597,0.27385767881731354,0.28711725688052825,,,,30
64,0,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.24656924533484437,0.24175167617687357,0.2513396559531561,,,,30
64,1,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.2459988347207286,0.24058071071060133,0.25207344820207633,,,,30
64,2,0.6,0.42320360253322475,0.7540937188319815,0.25109829106997456,0.2451404236608416,0.2567176058851596,,,,30
64,3,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.24777640408132925,0.244014982942935,0.25160422741090466,,,,30
64,4,0.5,0.33154125640533766,0.6684587435946623,0.24644091589595635,0.24057286103272707,0.25237250052276033,,,,30
64,6,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.2491891843166426,0.24447935054925474,0.25435811437570877,,,,30
64,8,0.6,0.42320360253322475,0.7540937188319815,0.26269394886711106,0.2571223242914763,0.2688102593737826,,,,30
64,10,0.8666666666666667,0.703186733179637,0.9469034451594526,0.2561144775774528,0.2516426532164645,0.2608878908857453,,,,30
64,12,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.2584080957593963,0.25375926198254245,0.26369361564054317,,,,30
128,0,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.23485438867564434,0.23136767893296414,0.23866185445608454,,,,30
128,1,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.23504597980253034,0.23217914566499906,0.23814181274545532,,,,30
128,2,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.23546405467229373,0.23234787109800067,0.2384557998511144,,,,30
128,3,0.6,0.42320360253322475,0.7540937188319815,0.23382730767234622,0.22923102691259492,0.23850273795445617,,,,30
128,4,0.4666666666666667,0.30232388907699753,0.638577003801267,0.23423396225976012,0.23020251332725514,0.23781951409762989,,,,30
128,6,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.2385359628663429,0.23451193606921433,0.2427889101030756,,,,30
128,8,0.7333333333333333,0.555520383048111,0.8581733668040368,0.2391924695408745,0.23629787299561172,0.24264049380748987,,,,30
128,10,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.23907303778818126,0.23583950477964813,0.24282106062723027,,,,30
128,12,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.2384363999034524,0.2351682850370226,0.24158267556532478,,,,30
256,0,0.6,0.42320360253322475,0.7540937188319815,0.22341599734434608,0.2208917870765337,0.22584133995233607,,,,30
256,1,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.22555593218771325,0.22268728436195545,0.2287082889497589,,,,30
256,2,0.4666666666666667,0.30232388907699753,0.638577003801267,0.22448381480119928,0.22266419392937997,0.22625971662294272,,,,30
256,3,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.22574288221313346,0.22332046301324543,0.2282700388095206,,,,30
256,4,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.2228733996959898,0.2206976278535321,0.22504137227842377,,,,30
256,6,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.2240921845223237,0.22235007256504152,0.22599235906502074,,,,30
256,8,0.7,0.5212421254128504,0.8333525173175619,0.22771019491336347,0.2252272261873,0.23046008772230372,,,,30
256,10,0.8333333333333334,0.6643564949358397,0.9266345762815146,0.23025115877561267,0.22732491671081187,0.23327681677942766,,,,30
256,12,0.7333333333333333,0.555520383048111,0.8581733668040368,0.22650852220307313,0.22462456339086864,0.22842097822960375,,,,30
