N,Pattern,Seed,Clustering,CharPath,GlobalEff,MeanDeg,DegStd,EdgeDensity,Fiedler,WeightedEff,CommMean,LongRangeFrac,Threshold50_logistic,Threshold50_lo,Threshold50_hi
128,small_world,12000,0.2807606506248511,1.796628937007874,0.6051304133858273,27.140625,3.4567288886134824,0.21370570866141733,2.4009911330585956,0.09844161252210294,261.3086057182446,0.2765299479166667,2.016806722689076,1.3426470588235293,2.25
128,small_world,12001,0.2806335152791507,1.796875,0.6053354658792655,27.234375,3.552033693445911,0.21444389763779528,2.333432519469829,0.09834811954586775,254.46617051464906,0.2760416666666667,2.016806722689076,1.3426470588235293,2.25
128,small_world,12002,0.27323089098463366,1.8009350393700787,0.6040436351706047,27.0,2.9606798205817526,0.2125984251968504,2.282635048007409,0.0990548681818951,254.67667843915052,0.2770182291666667,2.016806722689076,1.3426470588235293,2.25
128,small_world,12003,0.28115567997900354,1.8056102362204725,0.6033464566929146,27.03125,3.278570334383571,0.2128444881889764,2.279841286919976,0.09854369801713489,258.5128702427469,0.2722981770833333,2.016806722689076,1.3426470588235293,2.25
128,small_world,12004,0.29103107653306526,1.8079478346456692,0.6029158464566943,27.015625,3.4843049320309207,0.2127214566929134,2.289271197386935,0.09825765204112494,261.4213734430292,0.2757161458333333,2.016806722689076,1.3426470588235293,2.25
128,line,12000,1.0,1.0,1.0,127.0,0.0,1.0,0.00032026765971950553,0.039572196362183655,3.6443599965927995,0.0,2.2184873949579837,0.9639743589743592,2.68452380952381
128,line,12001,1.0,1.0,1.0,127.0,0.0,1.0,0.0003250309894964219,0.04010731153961312,3.6989986806339115,0.0,2.2184873949579837,0.9639743589743592,2.68452380952381
128,line,12002,1.0,1.0,1.0,127.0,0.0,1.0,0.0003345656634976091,0.0400169943157514,3.6105132831342104,0.0,2.2184873949579837,0.9639743589743592,2.68452380952381
128,line,12003,1.0,1.0,1.0,127.0,0.0,1.0,0.00028212041266171075,0.03694418455236404,3.5745418874840382,0.0,2.2184873949579837,0.9639743589743592,2.68452380952381
128,line,12004,1.0,1.0,1.0,127.0,0.0,1.0,0.00032671561094044026,0.03969425693081356,3.6586842039856773,0.0,2.2184873949579837,0.9639743589743592,2.68452380952381
128,modular,12000,0.7413088558184923,1.2575604838709677,0.8712197580645161,23.015625,2.381518603617238,0.1812253937007874,-8.881784197001252e-16,0.16334465897038736,92.88189833662472,0.11088709677419355,2.554621848739496,1.2,2.821875000000002
128,modular,12001,0.7390654547672787,1.2570564516129032,0.8714717741935484,23.03125,2.2077190576475076,0.1813484251968504,-8.152137121417046e-98,0.16421216241844036,97.94383099231564,0.11088709677419355,2.554621848739496,1.2,2.821875000000002
128,modular,12002,0.74705899961086,1.9950132978723405,0.6801307624113466,23.25,2.161452058223823,0.1830708661417323,-8.881784197001252e-16,0.12416196318740985,93.5283544043555,0.1111111111111111,2.554621848739496,1.2,2.821875000000002
128,modular,12003,0.7419197760058434,1.9251994680851063,0.6837599734042582,23.03125,2.449290394685775,0.1813484251968504,8.881784197001252e-16,0.12370130114956392,95.58845194978389,0.1108591584782061,2.554621848739496,1.2,2.821875000000002
128,modular,12004,0.7458195984417141,1.2505040322580645,0.8747479838709677,23.234375,2.1919040488522756,0.1829478346456693,-2.662557984698672e-87,0.1633379256116102,95.25920464686567,0.11088709677419355,2.554621848739496,1.2,2.821875000000002
128,random,12000,0.21921349843516125,1.7757135826771653,0.6123482611548556,28.5625,4.067304850880986,0.2249015748031496,7.9140465059414495,0.08676072526311074,5924.496848104888,0.6692913385826772,2.554621848739496,1.148076923076923,3.113716356107661
128,random,12001,0.22428714937021868,1.7758366141732282,0.6124507874015749,28.609375,4.350349079025153,0.22527066929133857,8.030192991912527,0.0863841729084307,6036.545982244554,0.6692913385826772,2.554621848739496,1.148076923076923,3.113716356107661
128,random,12002,0.2262622781320007,1.7739911417322836,0.6132504921259843,28.796875,3.9476246318989094,0.2267470472440945,7.85855634665702,0.08662235220874615,5825.638731447237,0.6692913385826772,2.554621848739496,1.148076923076923,3.113716356107661
128,random,12003,0.2212021815499874,1.7759596456692914,0.612307250656168,28.5625,4.218171256599239,0.2249015748031496,8.002382000313405,0.08671018498433261,5906.952288172037,0.6692913385826772,2.554621848739496,1.148076923076923,3.113716356107661
128,random,12004,0.22530007465972396,1.7746062992125984,0.6131069553805774,28.78125,4.077256852039126,0.2266240157480315,7.8927145080212835,0.08698048883830124,5900.0290276675,0.6692913385826772,2.554621848739496,1.148076923076923,3.113716356107661
