Predictor,Beta_std,SE,t,p
CommMean,0.867731386965713,0.027830914427663053,31.17868761449014,2.0725753088841978e-213
Fiedler,-1.3671090834637905,0.06308850760204267,-21.669700796972514,3.963227167994321e-104
LongRangeFrac,0.6155846079388858,0.0395642608219156,15.559108022002993,1.380088053749719e-54
WeightedEff,0.012132564808648466,0.005872016395364738,2.066166712038762,0.03881274082713958
