run,n,AUC,AUC_lo,AUC_hi,p_value,effect_size,orientation,significant
cai_full_01,1200,0.4974494863619047,0.4623352467415139,0.5355781982366364,0.9010494752623688,-0.1389382083119594,normal,False
cai_lesion_broadcast0,360,0.49859591013824867,0.4306368090185007,0.567503858513854,0.9690154922538731,-0.0422269538072811,normal,False
mini,36,0.6384615384615384,0.41731495260141094,0.846182266009852,0.2063968015992004,1.2825433390995042,inverted,False
