A,B,DiffMean,DiffLo,DiffHi,Significant
small_world,line,-0.2953781512605042,-1.411764705882353,0.80672268907563,False
small_world,modular,-0.5966386554621849,-1.680672268907563,0.47058823529411775,False
small_world,random,-0.52890756302521,-1.546218487394958,0.47058823529411775,False
line,modular,-0.3460504201680672,-1.5462184873949578,0.6722689075630253,False
line,random,-0.2783193277310924,-1.346218487394958,0.8067226890756303,False
modular,random,0.05445378151260503,-0.9411764705882351,1.1428571428571426,False
