N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,0,0.75,0.40927543031016883,0.9285207872478909,0.2819623656998649,0.2724822371749921,0.2910574724281231,,,,8
32,1,0.875,0.5291118177871464,0.9775825085499433,0.2736383375957736,0.2640172645914164,0.282555068671554,,,,8
32,2,0.625,0.30574239460262737,0.8631557141764026,0.28316046553210106,0.2667725947778303,0.29958222642078186,,,,8
32,3,0.875,0.5291118177871464,0.9775825085499433,0.2740141522868332,0.26729035196332035,0.2796703091856149,,,,8
32,4,0.625,0.30574239460262737,0.8631557141764026,0.2757387074725488,0.2656819499459935,0.2895085347988228,,,,8
64,0,0.75,0.40927543031016883,0.9285207872478909,0.2599732419383093,0.2523700923684121,0.2692306476002151,,,,8
64,1,0.625,0.30574239460262737,0.8631557141764026,0.2631423171694489,0.25585194322847077,0.2712449423835102,,,,8
64,2,0.875,0.5291118177871464,0.9775825085499433,0.2618651363630141,0.2508429645203849,0.2720568439857997,,,,8
64,3,0.625,0.30574239460262737,0.8631557141764026,0.24416823649077296,0.24038763061718424,0.2485988966588414,,,,8
64,4,0.875,0.5291118177871464,0.9775825085499433,0.2540372853979189,0.24552424374552545,0.26421455842935276,,,,8
