N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,0,0.3,0.19898166138769108,0.42508707946914487,0.26108782292883126,0.25506968845215455,0.2670887726998826,,,,60
32,1,0.2,0.11828505322897494,0.317818058056279,0.2620543158627705,0.25703687080822946,0.2671341267579015,,,,60
32,2,0.45,0.3309365440675524,0.5750806411466566,0.2592070885963079,0.25366385164632355,0.2641451661378254,,,,60
32,3,0.4,0.2856949053488255,0.5263394650795924,0.2598508850078556,0.25474559310932776,0.2650245295814973,,,,60
32,4,0.38333333333333336,0.27088272374082023,0.5098240417590008,0.26413338012264714,0.25925785100058096,0.26935758134056703,,,,60
32,5,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.26316879605866667,0.25844146821256536,0.2680022905464247,,,,60
32,6,0.6166666666666667,0.49017595824099924,0.7291172762591798,0.2697359593158347,0.26482608188727874,0.27486368301096525,,,,60
32,8,0.6,0.4736605349204075,0.7143050946511744,0.276290146740417,0.27156905185784264,0.28132783577458353,,,,60
64,0,0.3,0.19898166138769108,0.42508707946914487,0.23774980553959857,0.23445347159009955,0.24132525897231505,,,,60
64,1,0.31666666666666665,0.21305867552366523,0.44233767026176773,0.24262009809190824,0.23789495830484075,0.24760031770983698,,,,60
64,2,0.2833333333333333,0.18506828428432714,0.4076728516439118,0.2438812884160888,0.23945031891423965,0.24913073435069646,,,,60
64,3,0.26666666666666666,0.17132640003280553,0.39008713096683645,0.24147820300198386,0.23799790645104732,0.24469075056930753,,,,60
64,4,0.4,0.2856949053488255,0.5263394650795924,0.24718041384495978,0.24285514433679886,0.25135195469916816,,,,60
64,5,0.45,0.3309365440675524,0.5750806411466566,0.24505694865180033,0.24165633060087152,0.24860385829229134,,,,60
64,6,0.5666666666666667,0.44103438776125564,0.6842760319531324,0.24955518334813634,0.24678594969563886,0.2525612731203817,,,,60
64,8,0.6333333333333333,0.5068300063010303,0.7437908331277456,0.2551316481116601,0.251360476035828,0.2592908177987763,,,,60
128,0,0.4,0.2856949053488255,0.5263394650795924,0.22869952266304888,0.22615213748936241,0.2312026170310436,,,,60
128,1,0.2833333333333333,0.18506828428432714,0.4076728516439118,0.2309729443623841,0.22867277595895114,0.23367375428855958,,,,60
128,2,0.2833333333333333,0.18506828428432714,0.4076728516439118,0.2285750928100669,0.22641852616694622,0.23103379876517188,,,,60
128,3,0.31666666666666665,0.21305867552366523,0.44233767026176773,0.2284281362486512,0.22591464839926867,0.23104165794138043,,,,60
128,4,0.38333333333333336,0.27088272374082023,0.5098240417590008,0.23289125736307986,0.23019760463345532,0.23538479250225444,,,,60
128,5,0.45,0.3309365440675524,0.5750806411466566,0.2305454265618222,0.228252912077416,0.23285341306883997,,,,60
128,6,0.5333333333333333,0.4089342702715789,0.6537209395856151,0.23652906076977231,0.2341077497815474,0.2390996752550257,,,,60
128,8,0.65,0.5236261884175486,0.7583222559398244,0.23767507604453889,0.2354426540104919,0.2400643944835954,,,,60
256,0,0.31666666666666665,0.21305867552366523,0.44233767026176773,0.22084943753796227,0.21868024165414104,0.22319207893879855,,,,60
256,1,0.26666666666666666,0.17132640003280553,0.39008713096683645,0.22110292586379882,0.21911808544417274,0.22321400842797087,,,,60
256,2,0.16666666666666666,0.0931317697919145,0.2803161316361453,0.22028206508503959,0.21858075654766537,0.22207600858548415,,,,60
256,3,0.2,0.11828505322897494,0.317818058056279,0.2223516395760227,0.22045936369780472,0.22431649336430687,,,,60
256,4,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.22142830019409548,0.21995188332500165,0.22308330961153428,,,,60
256,5,0.36666666666666664,0.25620916687225426,0.49316999369896963,0.22202468042392104,0.22046289500685845,0.2239586910436099,,,,60
256,6,0.5833333333333334,0.45728081022640116,0.6993572144165838,0.22554888469464068,0.22390700011209413,0.22719240868519128,,,,60
256,8,0.7,0.5749129205308552,0.8010183386123089,0.22510773730844105,0.22359273788358833,0.22664701552369432,,,,60
