N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope
32,,0.0,0.0,0.02627118644067798,0.666667
64,0.75,0.8403361344537815,0.25677966101694916,1.223728813559322,0.666667
