N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
64,0,0.5428571428571428,0.38189725068483754,0.6953398071159278,0.24933933851966397,0.24434254098694907,0.25432395448828526,6.5,4.90625,8.21875,35
64,1,0.5142857142857142,0.35568804595868564,0.6700576399749026,0.2515820418770091,0.24638745130211304,0.2570716507761116,5.151515151515151,3.7871212121212126,6.575757575757576,35
64,2,0.6285714285714286,0.4633693684359532,0.7683418049663429,0.25020093401017035,0.24572295115457066,0.25477458356062055,5.96969696969697,4.0606060606060606,8.001515151515143,35
64,3,0.6,0.435727090128925,0.7444927114061941,0.25106648947416743,0.24691544245902805,0.25550412443681103,6.484848484848484,4.878030303030303,8.0,35
64,4,0.7142857142857143,0.5494506513681738,0.836734637635653,0.2511180119845885,0.24700140282177716,0.25512635192022265,5.818181818181818,4.363636363636363,7.393939393939394,35
64,5,0.7142857142857143,0.5494506513681738,0.836734637635653,0.25182453262876586,0.247077350138049,0.256563981591641,7.575757575757576,5.423484848484848,9.84924242424242,35
64,6,0.7714285714285715,0.6098268310800976,0.879341201658083,0.2535870213945741,0.24930849111893236,0.25844032730868505,6.909090909090909,5.0,8.87954545454545,35
64,8,0.6,0.435727090128925,0.7444927114061941,0.2584654302902642,0.2536487779995655,0.2635718153228089,3.5454545454545454,2.212121212121212,5.0606060606060606,35
64,10,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.25345045242006453,0.24982133062507342,0.2575238017917545,5.542857142857143,3.7714285714285714,7.4,35
64,12,0.7428571428571429,0.5793069315616084,0.8583697293093955,0.25296302279791844,0.2492591763414932,0.2570494755663052,4.457142857142857,2.999285714285714,6.0285714285714285,35
64,14,0.6857142857142857,0.5202023638793081,0.8144915532573418,0.25004343428145476,0.246058349849989,0.25424688619035757,5.6,3.9707142857142856,7.514285714285714,35
64,16,0.5428571428571428,0.38189725068483754,0.6953398071159278,0.25349065260347364,0.24796777073471113,0.25940011625208875,5.75,3.78125,7.814843749999987,35
