N,SOA,trial,hit,conf,lat,sync
64,0,0,1,0.23921910569118732,6.0,0.5454545454545454
64,0,1,1,0.2348224398051236,3.0,0.6363636363636364
64,0,2,0,0.2374466923652984,4.0,0.5454545454545454
64,0,3,0,0.24603947197128326,5.0,0.5454545454545454
64,0,4,0,0.23464247145288072,5.0,0.5454545454545454
64,0,5,1,0.24757548443467486,8.0,0.6363636363636364
64,0,6,1,0.25823322959309464,0.0,0.5454545454545454
64,0,7,0,0.24133291153132252,6.0,0.5454545454545454
64,0,8,0,0.2713957751242464,0.0,0.6363636363636364
64,0,9,1,0.2307920041076105,15.0,0.6363636363636364
64,0,10,0,0.22781378975508002,8.0,0.5454545454545454
64,0,11,0,0.24653082250211641,8.0,0.7272727272727273
64,1,0,1,0.26085332593086086,6.0,0.5454545454545454
64,1,1,1,0.2449603783490995,4.0,0.5454545454545454
64,1,2,0,0.23431483268041867,4.0,0.6363636363636364
64,1,3,0,0.29233433459290664,9.0,0.5454545454545454
64,1,4,1,0.2595440597297897,13.0,0.6363636363636364
64,1,5,1,0.23009744320610642,6.0,0.6363636363636364
64,1,6,0,0.25775899126315027,6.0,0.5454545454545454
64,1,7,0,0.2821195018258101,0.0,0.5454545454545454
64,1,8,0,0.24910551342764767,7.0,0.6363636363636364
64,1,9,0,0.2530250016165116,2.0,0.6363636363636364
64,1,10,1,0.24611334564264348,3.0,0.5454545454545454
64,1,11,0,0.24672827678362214,12.0,0.7272727272727273
64,2,0,1,0.2728926011699294,1.0,0.5454545454545454
64,2,1,0,0.2732352528450223,1.0,0.5454545454545454
64,2,2,0,0.26736898333658343,1.0,0.5454545454545454
64,2,3,1,0.26454590443735415,1.0,0.5454545454545454
64,2,4,0,0.2783397130278151,1.0,0.7272727272727273
64,2,5,0,0.24832830327930874,8.0,0.5454545454545454
64,2,6,0,0.25859884603758027,0.0,0.5454545454545454
64,2,7,0,0.24745326835425674,8.0,0.6363636363636364
64,2,8,0,0.24256629388123818,11.0,0.7272727272727273
64,2,9,1,0.2398389972901419,9.0,0.7272727272727273
64,2,10,0,0.2280144000453846,5.0,0.7272727272727273
64,2,11,1,0.2500232948797933,0.0,0.6363636363636364
64,3,0,0,0.2578394720889325,10.0,0.5454545454545454
64,3,1,1,0.26648158928840854,1.0,0.6363636363636364
64,3,2,0,0.24707655491245817,6.0,0.6363636363636364
64,3,3,0,0.2418421163992439,6.0,0.8181818181818181
64,3,4,0,0.27409017564069316,0.0,0.6363636363636364
64,3,5,1,0.24841215874821312,5.0,0.5454545454545454
64,3,6,0,0.24308215505906183,8.0,0.6363636363636364
64,3,7,0,0.24950744081324394,5.0,0.6363636363636364
64,3,8,1,0.25773018899874145,1.0,0.5454545454545454
64,3,9,1,0.25619532175103255,0.0,0.6363636363636364
64,3,10,0,0.2477341782332709,3.0,0.6363636363636364
64,3,11,1,0.2644546971477831,5.0,0.5454545454545454
64,4,0,1,0.2638768945993081,0.0,0.6363636363636364
64,4,1,1,0.257191563368038,1.0,0.5454545454545454
64,4,2,1,0.24965511705546817,12.0,0.5454545454545454
64,4,3,0,0.23946956935080277,7.0,0.7272727272727273
64,4,4,1,0.23578330331098418,13.0,0.6363636363636364
64,4,5,1,0.2681993249968544,2.0,0.6363636363636364
64,4,6,0,0.2455523228890552,7.0,0.7272727272727273
64,4,7,0,0.24566472431051,8.0,0.6363636363636364
64,4,8,1,0.24218614643580424,,0.5454545454545454
64,4,9,1,0.251882297916311,10.0,0.5454545454545454
64,4,10,1,0.23529395649942075,7.0,0.5454545454545454
64,4,11,0,0.249759700985005,18.0,0.5454545454545454
64,6,0,1,0.24314680589943938,16.0,0.5454545454545454
64,6,1,0,0.3191817869329332,2.0,0.5454545454545454
64,6,2,0,0.26992385775704747,2.0,0.5454545454545454
64,6,3,1,0.26560274737487116,1.0,0.5454545454545454
64,6,4,1,0.23960154500754363,9.0,0.6363636363636364
64,6,5,1,0.27155254668847695,0.0,0.6363636363636364
64,6,6,1,0.2877985073907612,17.0,0.6363636363636364
64,6,7,1,0.23567324576955764,,0.5454545454545454
64,6,8,1,0.24558832940161385,9.0,0.5454545454545454
64,6,9,1,0.23795186891906825,4.0,0.6363636363636364
64,6,10,1,0.24794370611330865,,0.5454545454545454
64,6,11,0,0.2535266990508344,1.0,0.5454545454545454
64,8,0,1,0.23640286271951144,15.0,0.5454545454545454
64,8,1,0,0.24251584353194736,6.0,0.7272727272727273
64,8,2,1,0.2609328999558979,1.0,0.6363636363636364
64,8,3,0,0.26244581452132953,2.0,0.5454545454545454
64,8,4,1,0.2542548231875445,6.0,0.5454545454545454
64,8,5,1,0.24156317231686078,6.0,0.5454545454545454
64,8,6,1,0.23835684841524066,17.0,0.6363636363636364
64,8,7,0,0.24032392096504412,7.0,0.6363636363636364
64,8,8,1,0.2621722695146969,0.0,0.5454545454545454
64,8,9,1,0.24275969199692385,7.0,0.6363636363636364
64,8,10,1,0.2602662727585913,1.0,0.5454545454545454
64,8,11,0,0.26537449604957175,0.0,0.6363636363636364
64,10,0,1,0.25000763561619777,2.0,0.5454545454545454
64,10,1,0,0.2445869428989912,5.0,0.5454545454545454
64,10,2,1,0.24584036030724457,6.0,0.6363636363636364
64,10,3,1,0.26059619485973107,2.0,0.5454545454545454
64,10,4,1,0.2539570851796034,0.0,0.5454545454545454
64,10,5,1,0.24823436218767658,,0.6363636363636364
64,10,6,0,0.2631697424081987,1.0,0.5454545454545454
64,10,7,0,0.2651584302208218,5.0,0.5454545454545454
64,10,8,1,0.2403613291774663,,0.6363636363636364
64,10,9,1,0.26933330669770206,1.0,0.5454545454545454
64,10,10,1,0.2639691282504662,2.0,0.5454545454545454
64,10,11,1,0.26201864099801103,1.0,0.6363636363636364
64,12,0,0,0.2506431717359835,0.0,0.6363636363636364
64,12,1,1,0.26071539760440315,0.0,0.6363636363636364
