Period,DetectTime,Detect_lo,Detect_hi
10,7.0,3.0,11.0
16,18.0,14.633333333333333,20.666666666666668
24,26.0,19.666666666666668,33.73333333333331
36,5.666666666666667,3.6666666666666665,7.666666666666667
