condition,VIS_Acc,VIS_lo,VIS_hi,CHANGE_Acc,CHANGE_lo,CHANGE_hi,AUD_Acc,AUD_lo,AUD_hi
single,1.0,0.5101091635454027,1.0,0.75,0.30064184258240184,0.9544127391902995,,,
dual,1.0,0.5101091635454027,1.0,1.0,0.5101091635454027,1.0,1.0,0.5101091635454027,1.0
